Site; Entreprise; Collecte; Collecte en cours
23;Mcdonald's LYON;REFOOD;OUI
23;McDonald's République;VEOLIA;OUI
23;McDonald's République;PAPREC;OUI
50;Mcdonald's MANTES ;SUEZ;OUI
50;McDonald's Mantes la Ville;SUEZ;OUI
56;TOULON;PIZZORNO;OUI
56;TOULON;ALCHIMISTES;OUI
65;AREAS ECOT;COVED;OUI
65;AREAS ECOT;PAPREC;OUI
66;AREAS MANZAT;PAPREC;OUI
106;Mcdonald's LE MANS DURAND;REFOOD;OUI
106;Mcdonald's LE MANS DURAND;VEOLIA;OUI
112;McDonald's Champagne;NICOLLIN;OUI
112;McDonald's Champagne;PAPREC;OUI
112;McDonald's Champagne;MARTIN BROWER;OUI
116;Mcdonald's ANGERS;VEOLIA;OUI
116;Mcdonald's ANGERS;BRANGEON;OUI
134;Mcdonald's LYON;REFOOD;OUI
134;McDonald's Herriot;VEOLIA;OUI
134;McDonald's Herriot;PAPREC;OUI
157;Mcdonald's LANESTER;VEOLIA;OUI
157;Mcdonald's LANESTER;RECYCLEURS BRETONS;OUI
157;Mcdonald's LANESTER;RECYCLEURS BRETON;OUI
161;Mcdonald's CHALON SUR SAONE OBELISQUE;SUEZ;OUI
162;Mcdonald's BOURGES CHAPPE;VEOLIA;OUI
162;Mcdonald's BOURGES CHAPPE;PAPREC;OUI
163;Mcdonald's LONS;VEOLIA;OUI
180;McDonald's Boulogne sur mer;SUEZ;OUI
180;McDonald's Boulogne sur mer;BAUDELET;OUI
180;McDonald's Boulogne sur mer;VEOLIA;OUI
190;Mcdonald's MOULINS;SUEZ;OUI
196;Mcdonald's CHARTRES CARREFOUR;REFOOD;OUI
199;Mcdonald's MARZY;SUEZ;OUI
213;Mcdonald's LORIENT CENTRE;VEOLIA;OUI
213;Mcdonald's LORIENT CENTRE;RECYCLEURS BRETONS;OUI
213;McDonald's Lorient Centre;RECYCLEURS BRETON;OUI
238;McDonald's Thionville Auriges;SUEZ;OUI
238;McDonald's Thionville Auriges;BARISIEN;OUI
239;McDonald's Salaise Sur Sanne;SUEZ;OUI
239;McDonald's Salaise Sur Sanne;VEOLIA;OUI
253;Mcdonald's WILAG ORLEANS;VEOLIA;OUI
270;Mcdonald's MONTBELIARD;HNS;OUI
270;Mcdonald's MONTBELIARD;VEOLIA;OUI
270;Mcdonald's MONTBELIARD;PAPREC;OUI
277;Mcdonald's LE MANS;REFOOD;OUI
277;Mcdonald's LE MANS;VEOLIA;OUI
277;Mcdonald's LE MANS;PAPREC;OUI
291;McDonald's Romans sur Isere;SUEZ;OUI
291;McDonald's Romans sur Isere;ROVALTERRE;OUI
299;Mcdonald's LA CHAPELLE SAINT AUBIN;REFOOD;OUI
299;Mcdonald's LA CHAPELLE SAINT AUBIN;PAPREC;OUI
299;Mcdonald's LA CHAPELLE SAINT AUBIN;VEOLIA;OUI
302;McDonald's Lomme;BAUDELET;OUI
302;McDonald's Lomme;THEYS;OUI
302;McDonald's Lomme;ALCHIMISTES;OUI
305;McDonald's Sallanches;EXCOFFIER;OUI
307;Mcdonald's SAINT JEAN DE LA RUELLE;VEOLIA;OUI
313;Mcdonald's TOULOUSE;SUEZ;OUI
313;Mcdonald's TOULOUSE;CLERVERTS;OUI
313;Mcdonald's TOULOUSE;CLERVERT;OUI
313;McDonald's Toulouse Montaudran;CLER VERT ;OUI
317;McDonald's Blagnac;VEOLIA;OUI
320;Mcdonald's FORBACH;VEOLIA;OUI
322;Mcdonald's AMIENS NORD;SUEZ;OUI
322;McDonalds Jericho;PAPREC;OUI
324;Mcdonald's ANTHY LEMAN;EXCOFFIER;OUI
324;Mcdonald's ANTHY LEMAN;ORTEC;OUI
324;Mcdonald's ANTHY LEMAN;DURRRECYCLAGE;OUI
324;Mcdonald's ANTHY LEMAN;DURR RECYCLAGE;OUI
324;Mcdonald's ANTHY LEMAN;SUEZ;OUI
324;Mcdonald's ANTHY LEMAN;DURR;OUI
328;Mcdonald's PORTE DOREE;SUEZ;OUI
328;Mcdonald's PORTE DOREE;GREENWISHES;OUI
338;McDonald's Saint Martin;SUEZ;OUI
338;McDonald's Saint Martin;BAUDELET;OUI
